Period,Indicator,Value
2019,Labor Force Participation Rate,61.3
2019,Employment Rate,94.9
2019,Underemployment Rate,13.8
2019,Unemployment Rate,5.1
2020,Labor Force Participation Rate,59.5
2020,Employment Rate,89.7
2020,Underemployment Rate,16.2
2020,Unemployment Rate,10.3
2021,Labor Force Participation Rate,63.3
2021,Employment Rate,92.2
2021,Underemployment Rate,15.9
2021,Unemployment Rate,7.8
2022,Labor Force Participation Rate,64.7
2022,Employment Rate,94.6
2022,Underemployment Rate,14.2
2022,Unemployment Rate,5.4
2023,Labor Force Participation Rate,64.9
2023,Employment Rate,95.7
2023,Underemployment Rate,12.3
2023,Unemployment Rate,4.3
